Index,Title,Type,Organization,Description,Entry_ID,Collection,Image_url
11,Anzalduas Dam,Photograph,Museum of South Texas History,Anzalduas Dam,2013.001.043,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/141106b0-66c6-11eb-a877-6b8566f86a20-stujvE7.lg_sq@2x.JPG
12,Anzalduas Dam,Photograph,Museum of South Texas History,Anzalduas Dam,2013.001.044,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/75f17ba0-66a1-11eb-a877-6b8566f86a20-stuiujc.lg_sq@2x.JPG
13,Army helicopter,Photograph,Museum of South Texas History,US Army helicopter,2013.001.021,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/89832450-66bc-11eb-a877-6b8566f86a20-stujBVk.lg_sq@2x.JPG
14,Arroyo City,Photograph,Museum of South Texas History,Arroyo City after the storm,2014.025.053,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d712c1d0-66d5-11eb-a877-6b8566f86a20-stuj6i5.lg_sq@2x.jpg
15,Balboa Acres,Photograph,Museum of South Texas History,"Balboa Acres subdivision on S. 23rd St, McAllen",2013.001.033,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5bb76070-66aa-11eb-a877-6b8566f86a20-stujwRj.lg_sq@2x.JPG
16,Barn near San Perlita,Photograph,Museum of South Texas History,Barn near San Perlita after Hurricane Beulah,2017.025.003,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/87ab29a0-66b4-11eb-a877-6b8566f86a20-stuiPUk.lg_sq@2x.JPG
17,Border Patrol,Photograph,Museum of South Texas History,US Border Patrol gas pumps and unit office,2013.001.061,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/64ae16a0-66b0-11eb-a877-6b8566f86a20-stuipIr.lg_sq@2x.JPG
18,Border Patrol,Photograph,Museum of South Texas History,US Border Patrol gas pumps and unit office,2013.001.062,Photos    Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/4178e100-66ca-11eb-a877-6b8566f86a20-stuiout.lg_sq@2x.JPG
19,Border Patrol,Photograph,Museum of South Texas History,US Border Patrol garage,2013.001.063,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/0820da10-66d5-11eb-a877-6b8566f86a20-stuioeS.lg_sq@2x.JPG
20,Bridge over Rio Grande,Photograph,Museum of South Texas History,Bridge over Rio Grande,2017.025.085,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fb680c40-66a1-11eb-a877-6b8566f86a20-stujXWX.lg_sq@2x.JPG
21,Business 83,Photograph,Museum of South Texas History,Business 83 and 3.5 looking west from Weslaco after Hurrican Beulah,2017.025.005,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/91b88220-66c9-11eb-a877-6b8566f86a20-stuiOjg.lg_sq@2x.JPG
22,Business 83 bridge,Photograph,Museum of South Texas History,Business 83 bridge in Mercedes,2017.025.054,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/eca48340-66cf-11eb-a877-6b8566f86a20-stuj6YB.lg_sq@2x.JPG
23,Cascade pool,Photograph,Museum of South Texas History,"Cascade swimming pool, S. 10th St",2017.001.029,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ac8310c0-66b0-11eb-a877-6b8566f86a20-stujznG.lg_sq@2x.JPG
24,Cotton compress,Photograph,Museum of South Texas History,"Cotton compress missing its roof, possibly in Harlingen",2017.025.088,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/44e05750-66bc-11eb-a877-6b8566f86a20-stujW34.lg_sq@2x.JPG
25,Donalson Ford,Photograph,Museum of South Texas History,Donalson Motor Company building after Hurricane Beulah,2017.025.006,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/27d6a030-66ab-11eb-a877-6b8566f86a20-stuiOOw.lg_sq@2x.JPG
26,ENCO,Photograph,Museum of South Texas History,ENCO sign down on South Padre Island,2017.025.091,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/1e3418d0-66d5-11eb-a877-6b8566f86a20-stujVi2.lg_sq@2x.JPG
27,Experimental plots,Photograph,Museum of South Texas History,Experimental plots in San Perlita,2017.025.055,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/dbd58a90-6694-11eb-a877-6b8566f86a20-stuj4n5.lg_sq@2x.JPG
28,Experimental plots,Photograph,Museum of South Texas History,Experimental plots in San Perlita,2017.025.056,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/58c9d640-66d2-11eb-a877-6b8566f86a20-stuj4az.lg_sq@2x.JPG
29,Expressway,Photograph,Museum of South Texas History,Expressway under water at floodway,2017.025.007,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ddf74a90-66bf-11eb-a877-6b8566f86a20-stuiO4G.lg_sq@2x.JPG
30,FM 1015,Photograph,Museum of South Texas History,FM 1015 N of Edcouch,2017.025.013,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ab6a0c30-669b-11eb-a877-6b8566f86a20-stujgur.lg_sq@2x.JPG
31,FM 1015,Photograph,Museum of South Texas History,FM 1015 N of Edcouch,2017.025.014,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/102cb5b0-66c8-11eb-a877-6b8566f86a20-stuiNMw.lg_sq@2x.JPG
32,FM 1015,Photograph,Museum of South Texas History,FM 1015 N of Edcouch,2017.025.015,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/39e0c3e0-66d9-11eb-a877-6b8566f86a20-stujgci.lg_sq@2x.JPG
33,FM 88,Photograph,Museum of South Texas History,FM 88 and 83 looking east,2017.025.016,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c96c89f0-66a6-11eb-a877-6b8566f86a20-stuiMsC.lg_sq@2x.JPG
34,FM 88,Photograph,Museum of South Texas History,FM 88 and Mile 12 USDA 2,2017.025.017,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ae80fd40-66a8-11eb-a877-6b8566f86a20-stujgXk.lg_sq@2x.JPG
35,FM 88,Photograph,Museum of South Texas History,FM 88 and Mile 12 USDA 3,2017.025.018,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d507dcd0-66b8-11eb-a877-6b8566f86a20-stujgE1.lg_sq@2x.JPG
36,FM 88,Photograph,Museum of South Texas History,FM 88 and Mile 12 USDA 4,2017.025.019,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/b793f790-66ba-11eb-a877-6b8566f86a20-stujfpx.lg_sq@2x.JPG
37,FM 88,Photograph,Museum of South Texas History,FM 88 and Mile 12 USDA after Hurricane Beulah,2017.025.020,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/7698ff10-66c9-11eb-a877-6b8566f86a20-stujfaL.lg_sq@2x.JPG
38,Fabric fair,Photograph,Museum of South Texas History,Fabric fair after Hurricane Beulah,2017.025.008,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/52bd4880-669c-11eb-a877-6b8566f86a20-stuiOxi.lg_sq@2x.JPG
39,Fabric fair,Photograph,Museum of South Texas History,Fabric fair after Hurricane Beulah,2017.025.009,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/23313860-66c9-11eb-a877-6b8566f86a20-stuiMbz.lg_sq@2x.JPG
40,Farm,Photograph,Museum of South Texas History,Farm between McAllen and Hidalgo,2013.001.034,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/62a6e8e0-6698-11eb-a877-6b8566f86a20-stujwAj.lg_sq@2x.JPG
41,Flooding,Photograph,Museum of South Texas History,Flooding along Business 83,2017.025.010,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6669d9c0-6697-11eb-a877-6b8566f86a20-stuiMUz.lg_sq@2x.jpg
42,Flooding,Photograph,Museum of South Texas History,House in flooding,2017.025.101,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2650eac0-66d0-11eb-a877-6b8566f86a20-stujTS3.lg_sq@2x.JPG
43,Flooding,Photograph,Museum of South Texas History,Flooding of Rio Grande,2017.025.118,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a35518f0-66e1-11eb-b926-21c8fb58c7e7-stujOJd.lg_sq@2x.jpg
44,Flooding,Photograph,Museum of South Texas History,Flooding of Rio Grande River,2017.025.119,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5ff35740-66bc-11eb-a877-6b8566f86a20-stujNrk.lg_sq@2x.JPG
45,Flooding,Photograph,Museum of South Texas History,Flooding of the Rio Grande,2017.025.120,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/94e2ae10-66cb-11eb-a877-6b8566f86a20-stujN9g.lg_sq@2x.JPG
46,Flooding,Photograph,Museum of South Texas History,Flooding as a result of Hurricane Beulah,1978.048.044c,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/1013ecd0-66e4-11eb-b926-21c8fb58c7e7-stuimhp.lg_sq@2x.jpg
47,Flooding,Photograph,Museum of South Texas History,"Flooding on Main St. in Edinburg after Hurricane Beulah, 1967.",2018.001.001l,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5ef2e850-66ea-11eb-b926-21c8fb58c7e7-so4EuNH.tn@2x.jpg
48,Floodway,Photograph,Museum of South Texas History,Floodway looking NW at expressway bridge under water,2017.025.011,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2411b9e0-66b4-11eb-a877-6b8566f86a20-stuiNhe.lg_sq@2x.JPG
49,Floodway,Photograph,Museum of South Texas History,Floodway after Hurricane Beulah,2017.025.012,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a4d01870-669a-11eb-a877-6b8566f86a20-stuiN1j.lg_sq@2x.JPG
50,Floodway,Photograph,Museum of South Texas History,Arroyo branch of floodway near Mercedes Weir breach,2017.025.051,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/8bf360d0-6697-11eb-a877-6b8566f86a20-stuj7OW.lg_sq@2x.JPG
51,Floodway,Photograph,Museum of South Texas History,Arroyo branch of floodway near Mercedes Weir breach,2017.025.052,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/9366e250-66b1-11eb-a877-6b8566f86a20-stuj7xl.lg_sq@2x.JPG
52,Floodway,Photograph,Museum of South Texas History,Floodway into Reynosa,2017.025.057,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c35342a0-66cb-11eb-a877-6b8566f86a20-stuj4Ra.lg_sq@2x.JPG
53,Floodway,Photograph,Museum of South Texas History,Floodway looking south towards Weir from Mercedes,2017.025.058,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/eba52ff0-66b4-11eb-a877-6b8566f86a20-stuj4CV.lg_sq@2x.JPG
54,Floodway,Photograph,Museum of South Texas History,"Hidalgo and Cameron County Water and Irrigation District #9, flume across floodway near Mercedes",2017.025.059,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fe804090-66d4-11eb-a877-6b8566f86a20-stuj3kY.lg_sq@2x.jpg
55,Floodway,Photograph,Museum of South Texas History,"North floodway with Arroyo split, Mercedes",2017.025.062,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/27394c90-669c-11eb-a877-6b8566f86a20-stuj5eO.lg_sq@2x.JPG
56,Floodway,Photograph,Museum of South Texas History,"North floodway with Arroyo split, Mercedes",2017.025.063,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/77d624e0-66c7-11eb-a877-6b8566f86a20-stuj34q.lg_sq@2x.JPG
57,Floodway,Photograph,Museum of South Texas History,Floodway after the storm,2017.025.093,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5f272ba0-66d2-11eb-a877-6b8566f86a20-stujUuS.lg_sq@2x.JPG
58,Floodway,Photograph,Museum of South Texas History,Floodway at Mile 2,2017.025.094,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6398a7d0-66d8-11eb-a877-6b8566f86a20-stujVJi.lg_sq@2x.JPG
59,Floodway,Photograph,Museum of South Texas History,Floodway at Mile 2,2017.025.095,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fd9a91f0-66c8-11eb-a877-6b8566f86a20-stujUee.lg_sq@2x.JPG
60,Floodway,Photograph,Museum of South Texas History,Floodway at Mile 2,2017.025.096,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/b890ab40-66b3-11eb-a877-6b8566f86a20-stujUYx.lg_sq@2x.JPG
61,Floodway,Photograph,Museum of South Texas History,Floodway after the storm,2017.025.097,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2e61f480-66d9-11eb-a877-6b8566f86a20-stujUHS.lg_sq@2x.JPG
62,Floodway,Photograph,Museum of South Texas History,"Hidalgo and Cameron County Water Irrigation District #9, flume at Mercedes crossing floodway",2017.025.100,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/496f9b10-66ca-11eb-a877-6b8566f86a20-stujTAt.lg_sq@2x.JPG
63,Floodway,Photograph,Museum of South Texas History,Mile 2 floodway levy,2017.025.105,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/49cd1570-66ab-11eb-a877-6b8566f86a20-stujSwR.lg_sq@2x.JPG
64,Floodway,Photograph,Museum of South Texas History,Mile 2 floodway levy,2017.025.106,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c49a3d60-66d2-11eb-a877-6b8566f86a20-stujRg0.lg_sq@2x.JPG
65,Floodway,Photograph,Museum of South Texas History,Mile 2 floodway levy,2017.025.107,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/84a74400-66aa-11eb-a877-6b8566f86a20-stujRSU.lg_sq@2x.JPG
66,Gulf Service Station,Photograph,Museum of South Texas History,"Gulf Service Station, now Mirrow House",2017.025.021,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/82123f10-669b-11eb-a877-6b8566f86a20-stujfUh.lg_sq@2x.JPG
67,Harlingen,Photograph,Museum of South Texas History,Harlingen after flooding,2017.025.098,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/067cce60-66d2-11eb-a877-6b8566f86a20-stujTrZ.lg_sq@2x.JPG
68,Harlingen,Photograph,Museum of South Texas History,"Flooding in Harlingen, looking east",2017.025.133,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/8a01a620-669b-11eb-a877-6b8566f86a20-stujKxd.lg_sq@2x.JPG
69,Harlingen Cotton and Seed Mill,Photograph,Museum of South Texas History,Harlingen Cotton and Seed Mill after the storm,2017.025.099,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/51353630-66ce-11eb-a877-6b8566f86a20-stujTa8.lg_sq@2x.JPG
70,Harlingen expressway,Photograph,Museum of South Texas History,Expressway in Harlingen,2017.025.092,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/936cf9d0-66d2-11eb-a877-6b8566f86a20-stujVZD.lg_sq@2x.JPG
71,Harlingen house,Photograph,Museum of South Texas History,"House in Harlingen, Treasure Hills",2017.025.125,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/1cbc0980-66ae-11eb-a877-6b8566f86a20-stujMR0.lg_sq@2x.JPG
72,Harrington's,Photograph,Museum of South Texas History,Harrington's at 6th and Missouri,2017.025.022,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/7f4a4c00-66c8-11eb-a877-6b8566f86a20-stujekz.lg_sq@2x.JPG
73,Helicopter,Photograph,Museum of South Texas History,General Stillwell's helicopter,2013.001.024,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/812afe70-66be-11eb-a877-6b8566f86a20-stujAiO.lg_sq@2x.JPG
74,Hidalgo,Photograph,Museum of South Texas History,"Hidalgo, TX",2013.001.039,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/3aaab650-66a7-11eb-a877-6b8566f86a20-stujwcm.lg_sq@2x.JPG
75,Highland St,Photograph,Museum of South Texas History,"Highland St, McAllen",2013.001.012,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/cb4d6c30-66d8-11eb-a877-6b8566f86a20-stujDmg.lg_sq@2x.JPG
76,Highway,Photograph,Museum of South Texas History,Highway leading west from Reynosa to Laredo,2013.001.036,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/91857950-66cb-11eb-a877-6b8566f86a20-stujx1r.lg_sq@2x.JPG
77,Hurricane Beulah,Photograph,Museum of South Texas History,2017.025.135,Hurricane Beulah,,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d944c430-66ad-11eb-a877-6b8566f86a20-stujJ0i.lg_sq@2x.JPG
78,Hurricane Beulah,Photograph,Museum of South Texas History,2017.025.136,Hurricane Beulah,,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/be647490-66cf-11eb-a877-6b8566f86a20-stujIbG.lg_sq@2x.JPG
79,Hurricane Beulah,Photograph,Museum of South Texas History,Police and National Guard rescue team giving a hand to hurricane victims using a truck and motor boat.,1978.048.044a,Photos,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/112a3ed0-66e4-11eb-b926-21c8fb58c7e7-stuimWJ.lg_sq@2x.jpg
80,Hurricane Beulah,Photograph,Museum of South Texas History,General view of the La Blanca Ranch Refinery of the McBride Oil Refining Company right after Hurricane Beulah.,2001.109.007a,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/125b92e0-66e4-11eb-b926-21c8fb58c7e7-stuimG2.lg_sq@2x.jpg
81,Hurricane Beulah,Photograph,Museum of South Texas History,"Interior of Dodd Mead Studio prior to hurricane.

Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.001,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/4f6ad110-66bb-11eb-a877-6b8566f86a20-stuilTp.lg_sq@2x.JPG
82,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.002,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fa025630-66ab-11eb-a877-6b8566f86a20-stuik27.lg_sq@2x.JPG
83,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.003,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/cff035c0-66d7-11eb-a877-6b8566f86a20-stuikLu.lg_sq@2x.jpg
84,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.004,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/788ff040-66cd-11eb-a877-6b8566f86a20-stuij8o.lg_sq@2x.jpg
85,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio at 225 E. Cano, Edinburg.",1985.046.001.005,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/fa73e870-66c6-11eb-a877-6b8566f86a20-stuijt0.lg_sq@2x.jpg
86,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.006,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/8b9ac540-66b2-11eb-a877-6b8566f86a20-stuijQc.lg_sq@2x.JPG
87,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.007,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/341d1540-66bf-11eb-a877-6b8566f86a20-stuijxa.lg_sq@2x.JPG
88,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.008,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/f84384a0-66aa-11eb-a877-6b8566f86a20-stuiii6.lg_sq@2x.JPG
89,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

J.C. Penney Co. at 204 E. Cano, Edinburg",1985.046.001.009,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/b94116e0-66b0-11eb-a877-6b8566f86a20-stuii2o.lg_sq@2x.JPG
90,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.010,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2c2a8010-66a2-11eb-a877-6b8566f86a20-stuiiLd.lg_sq@2x.JPG
91,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah, 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.  

Interior of Dodd Mead Photo Studio.",1985.046.001.011,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e06640d0-6695-11eb-a877-6b8566f86a20-stuiiwx.lg_sq@2x.JPG
